Date,Max W Temp (C),Min W Temp (C),Avg W Temp (C)
8/5/2017,25.065,18.889,21.56424306
8/6/2017,24.677,18.889,21.55490972
8/7/2017,25.065,18.509,21.629375
8/8/2017,25.089,17.796,21.23079861
8/9/2017,25.137,17.439,21.14365972
8/10/2017,24.702,16.725,20.68342361
8/11/2017,25.355,18.343,21.72763889
8/12/2017,23.208,18.01,20.676625
8/13/2017,24.581,17.582,21.100125
8/14/2017,23.954,18.557,21.25295833
8/15/2017,22.082,16.368,19.23586806
8/16/2017,22.753,14.96,18.95748611
8/17/2017,23.184,15.39,19.39026389
8/18/2017,23.569,16.034,19.83518056
8/19/2017,23.713,16.296,20.13597917
8/20/2017,22.776,16.106,19.77406944
8/21/2017,21.724,17.368,19.65246528
8/22/2017,24.388,17.201,20.48745833
8/23/2017,23.713,16.558,20.06720139
8/24/2017,23.521,16.582,20.15505556
8/25/2017,23.93,16.534,20.26761111
8/26/2017,24.436,16.606,20.45351389
8/27/2017,22.824,16.677,20.15110417
8/28/2017,23.376,16.392,19.95340972
8/29/2017,23.232,16.606,20.26117361
8/30/2017,23.665,16.677,20.24078472
8/31/2017,23.737,18.652,21.19872917
9/1/2017,23.833,17.13,20.54369444
9/2/2017,22.992,16.582,20.05371528
9/3/2017,22.968,16.392,19.89854167
9/4/2017,22.848,16.868,20.19332639
9/5/2017,22.585,16.534,19.95982639
9/6/2017,23.256,17.177,20.24934722
9/7/2017,21.891,17.034,19.74229861
9/8/2017,20.603,16.368,18.31913194
9/9/2017,21.533,17.153,19.122875
9/10/2017,22.729,16.201,19.27915278
9/11/2017,22.992,16.463,19.64544444
9/12/2017,22.944,16.963,19.84094444
9/13/2017,21.724,15.676,18.76850694
9/14/2017,20.507,15.629,17.79889583
9/15/2017,18.723,13.473,15.80368056
9/16/2017,19.389,13.738,16.33103472
9/17/2017,19.77,13.522,16.40905556
9/18/2017,19.103,12.944,15.99052083
9/19/2017,19.08,13.93,16.37770139
9/20/2017,19.056,13.281,16.17326389
9/21/2017,17.891,14.002,15.88152778
9/22/2017,17.748,13.473,15.30865278
9/23/2017,14.96,10.687,12.841125
9/24/2017,15.27,9.657,12.35089583
9/25/2017,15.485,9.657,12.48258333
9/26/2017,15.891,10.124,12.9500625
9/27/2017,15.27,10.98,13.33411111
9/28/2017,17.558,11.929,14.441125
9/29/2017,17.558,11.589,14.445625
9/30/2017,17.272,11.686,14.40229861
10/1/2017,16.249,11.346,13.91253472
10/2/2017,15.796,11.394,13.50298611
10/3/2017,15.39,9.361,12.30372222
10/4/2017,16.677,10.687,13.44290972
10/5/2017,15.581,10.075,12.85415278
10/6/2017,14.912,9.386,12.13908333
10/7/2017,14.697,9.064,11.85925
10/8/2017,14.385,9.213,11.77985417
10/9/2017,13.329,8.369,10.91288889
10/10/2017,13.137,7.795,10.52493056
10/11/2017,14.05,8.295,11.02309028
10/12/2017,13.858,8.693,11.35217361
10/13/2017,13.425,8.245,10.94573611
10/14/2017,12.871,8.095,10.56606944
10/15/2017,12.654,7.494,10.13385417
10/16/2017,12.509,6.788,9.675472222
10/17/2017,13.137,7.393,10.21963889
10/18/2017,12.799,8.99,10.96679167
10/19/2017,15.103,10.81,12.8381875
10/20/2017,14.074,10.418,12.42678472
10/21/2017,12.944,9.089,11.03544444
10/22/2017,12.944,7.945,10.34604167
10/23/2017,13.834,8.792,11.22628472
10/24/2017,14.074,9.731,11.92660417
10/25/2017,13.353,8.941,11.29463889
10/26/2017,12.896,8.444,10.77515972
10/27/2017,13.064,9.04,11.03338889
10/28/2017,13.666,9.188,11.20861806
10/29/2017,13.497,8.965,11.02997917
10/30/2017,12.606,9.015,10.70613194
10/31/2017,13.353,9.287,11.13922222
11/1/2017,13.257,9.312,11.04693056
11/2/2017,14.337,10.418,11.84770833
11/3/2017,13.906,11.175,12.18210417
11/4/2017,13.137,10.712,11.71456944
11/5/2017,13.522,10.541,11.65893056
11/6/2017,12.847,10.638,11.40638194
11/7/2017,12.413,9.114,10.50000694
11/8/2017,9.78,6.102,8.039875
11/9/2017,10.736,6.102,8.067763889
11/10/2017,10.858,6.611,8.480270833
11/11/2017,10.614,6.636,8.399569444
11/12/2017,9.657,6.179,7.838638889
11/13/2017,10.124,6.484,8.239798611
11/14/2017,9.829,6.179,7.902909722
11/15/2017,9.805,6.255,7.840881944
11/16/2017,9.188,6.153,7.636319444
11/17/2017,11.419,9.114,9.971541667
11/18/2017,9.238,6.051,7.569513889
11/19/2017,7.845,3.932,5.783333333
11/20/2017,8.145,4.506,6.110569444
11/21/2017,9.287,5.385,7.083951389
11/22/2017,10.883,7.066,8.566423611
11/23/2017,9.928,7.167,8.494236111
11/24/2017,10.443,6.889,8.448708333
11/25/2017,10.271,6.585,8.219381944
11/26/2017,10.736,6.839,8.481576389
11/27/2017,10.271,7.015,8.450381944
11/28/2017,9.435,6.331,7.710875
11/29/2017,9.213,6.128,7.335722222
11/30/2017,8.742,5.128,6.795111111
12/1/2017,9.04,5.514,7.034770833
12/2/2017,9.312,5.821,7.291284722
12/3/2017,8.419,6.56,7.348006944
12/4/2017,6.94,4.454,5.499138889
12/5/2017,5.334,2.69,4.001631944
12/6/2017,5.488,2.343,3.849270833
12/7/2017,5.616,2.101,3.772715278
12/8/2017,6.128,2.717,4.204722222
12/9/2017,5.821,2.637,4.2055625
12/10/2017,5.539,2.209,3.900125
12/11/2017,5.024,1.805,3.447791667
12/12/2017,6.077,2.69,4.151659722
12/13/2017,6.281,3.063,4.536381944
12/14/2017,7.066,3.512,4.900555556
12/15/2017,5.821,2.85,4.295875
12/16/2017,6.077,3.301,4.527201389
