,Date,Precip (mm),Min Temp (C),Max Temp (C),Avg Temp (C)
1204,1983-04-19T00:00:00Z,0.0,3.3500000000000227,19.150000000000034,11.250000000000028
1205,1983-04-20T00:00:00Z,0.0,6.050000000000011,20.350000000000023,13.200000000000017
1206,1983-04-21T00:00:00Z,0.0,5.25,16.55000000000001,10.900000000000006
1207,1983-04-22T00:00:00Z,0.0,2.75,20.650000000000034,11.700000000000017
1208,1983-04-23T00:00:00Z,0.0,6.650000000000034,22.950000000000045,14.80000000000004
1209,1983-04-24T00:00:00Z,0.0,7.850000000000023,23.650000000000034,15.750000000000028
1210,1983-04-25T00:00:00Z,0.0,5.050000000000011,20.75,12.900000000000006
1211,1983-04-26T00:00:00Z,0.0,4.550000000000011,19.450000000000045,12.000000000000028
1212,1983-04-27T00:00:00Z,0.0,6.550000000000011,19.55000000000001,13.050000000000011
1213,1983-04-28T00:00:00Z,1.6,8.950000000000045,21.150000000000034,15.05000000000004
1214,1983-04-29T00:00:00Z,0.5,8.050000000000011,16.950000000000045,12.500000000000028
1215,1983-04-30T00:00:00Z,0.9,3.5500000000000114,14.050000000000011,8.800000000000011
1216,1983-05-01T00:00:00Z,0.0,0.8500000000000227,15.350000000000023,8.100000000000023
1217,1983-05-02T00:00:00Z,0.0,2.9500000000000455,19.25,11.100000000000023
1218,1983-05-03T00:00:00Z,0.0,5.4500000000000455,21.850000000000023,13.650000000000034
1219,1983-05-04T00:00:00Z,0.0,7.25,23.350000000000023,15.300000000000011
1220,1983-05-05T00:00:00Z,0.0,6.25,21.75,14.0
1221,1983-05-06T00:00:00Z,0.0,3.8500000000000227,19.850000000000023,11.850000000000023
1222,1983-05-07T00:00:00Z,0.0,5.650000000000034,21.850000000000023,13.750000000000028
1223,1983-05-08T00:00:00Z,0.0,7.850000000000023,26.150000000000034,17.00000000000003
1224,1983-05-09T00:00:00Z,0.0,7.550000000000011,24.950000000000045,16.25000000000003
1225,1983-05-10T00:00:00Z,0.0,7.150000000000034,24.55000000000001,15.850000000000023
1226,1983-05-11T00:00:00Z,0.0,5.550000000000011,17.75,11.650000000000006
1227,1983-05-12T00:00:00Z,0.0,2.25,18.850000000000023,10.550000000000011
1228,1983-05-13T00:00:00Z,0.0,5.350000000000023,20.450000000000045,12.900000000000034
1229,1983-05-14T00:00:00Z,0.0,6.4500000000000455,20.75,13.600000000000023
1230,1983-05-15T00:00:00Z,0.0,3.8500000000000227,21.650000000000034,12.750000000000028
1231,1983-05-16T00:00:00Z,1.1,5.850000000000023,19.850000000000023,12.850000000000023
1232,1983-05-17T00:00:00Z,0.4,0.5500000000000114,19.350000000000023,9.950000000000017
1233,1983-05-18T00:00:00Z,1.8,4.850000000000023,20.650000000000034,12.750000000000028
1234,1983-05-19T00:00:00Z,3.1,9.050000000000011,19.75,14.400000000000006
1235,1983-05-20T00:00:00Z,0.30000000000000004,4.25,22.650000000000034,13.450000000000017
1236,1983-05-21T00:00:00Z,0.0,8.650000000000034,26.55000000000001,17.600000000000023
1237,1983-05-22T00:00:00Z,0.0,10.950000000000045,27.850000000000023,19.400000000000034
1238,1983-05-23T00:00:00Z,0.0,12.75,29.650000000000034,21.200000000000017
1239,1983-05-24T00:00:00Z,0.0,15.25,31.950000000000045,23.600000000000023
1240,1983-05-25T00:00:00Z,0.0,17.55000000000001,33.05000000000001,25.30000000000001
1241,1983-05-26T00:00:00Z,0.0,16.55000000000001,33.35000000000002,24.950000000000017
1242,1983-05-27T00:00:00Z,0.0,17.25,33.55000000000001,25.400000000000006
1243,1983-05-28T00:00:00Z,0.0,17.25,34.150000000000034,25.700000000000017
1244,1983-05-29T00:00:00Z,0.0,18.450000000000045,34.25,26.350000000000023
1245,1983-05-30T00:00:00Z,0.0,16.950000000000045,32.75,24.850000000000023
1246,1983-05-31T00:00:00Z,0.0,15.150000000000034,30.850000000000023,23.00000000000003
1247,1983-06-01T00:00:00Z,0.0,11.450000000000045,26.450000000000045,18.950000000000045
1248,1983-06-02T00:00:00Z,0.0,8.25,23.25,15.75
1249,1983-06-03T00:00:00Z,0.0,9.75,25.850000000000023,17.80000000000001
1250,1983-06-04T00:00:00Z,0.0,9.75,26.55000000000001,18.150000000000006
1251,1983-06-05T00:00:00Z,0.0,10.950000000000045,27.350000000000023,19.150000000000034
1252,1983-06-06T00:00:00Z,0.0,12.050000000000011,27.55000000000001,19.80000000000001
1253,1983-06-07T00:00:00Z,0.0,13.050000000000011,28.75,20.900000000000006
1254,1983-06-08T00:00:00Z,0.0,16.150000000000034,30.05000000000001,23.100000000000023
1255,1983-06-09T00:00:00Z,0.0,14.25,29.850000000000023,22.05000000000001
1256,1983-06-10T00:00:00Z,0.0,14.25,30.950000000000045,22.600000000000023
1257,1983-06-11T00:00:00Z,0.6000000000000001,14.450000000000045,30.150000000000034,22.30000000000004
1258,1983-06-12T00:00:00Z,7.0,13.850000000000023,24.350000000000023,19.100000000000023
1259,1983-06-13T00:00:00Z,0.30000000000000004,9.25,22.650000000000034,15.950000000000017
1260,1983-06-14T00:00:00Z,0.0,8.450000000000045,25.05000000000001,16.75000000000003
1261,1983-06-15T00:00:00Z,0.0,12.150000000000034,29.650000000000034,20.900000000000034
1262,1983-06-16T00:00:00Z,0.0,14.850000000000023,32.150000000000034,23.50000000000003
